number,title,image,year,location,color_1,color_2,color_3,color_4,color_5
137,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_vor_dem_Fenster2.jpeg,1885,"Van Gogh Museum, Amsterdam (F70a)",#C7C2CB,#3D353D,#554D56,#736B75,#5F5760
138,Woman Sewing,"Van_Gogh_-_Bäuerin,_nähend,_vor_einem_Fenster.jpeg",1885,"Van Gogh Museum, Amsterdam (F71)",#3D332C,#7B6F58,#4E3F35,#54453A,#5C4D41
139,Peasant Woman Taking her Meal,Van_Gogh_-_Bäuerin_bei_der_Mahlzeit.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F72)",#53473C,#948A7B,#3C3535,#2E292B,#473E39
140,"Peasant Woman Seated before an Open Door, Peeling Potatoes (b/w copy of painting)","Van_Gogh_-_Bäuerin_vor_einer_Tür,_kartoffelschälend.jpeg",1885,Private collection (F73),#645B64,#847C85,#847C86,#7E7680,#766D77
141,Head of a Woman with Greenish Lace Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_grünlicher_Haube.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F74)",#4B4940,#403D37,#806B54,#45403B,#33302F
142,Study for The Potato Eaters,Van_Gogh_-_Vier_Bauern_beim_Essen_(Erste_Studie_zu_den_-Karoffelessern-).jpeg,1885,Private collection (F77r),#2F3229,#404339,#4D5648,#48503E,#6E775B
143,Study for The Potato Eaters,Van_Gogh_-_Die_Kartoffelesser2.jpeg,1885,"Kröller-Müller Museum, Otterlo (F78)",#464533,#4D4C38,#545440,#474636,#56573F
144,Landscape at Sunset,Van_Gogh_-_Landschaft_bei_Sonnenuntergang.jpeg,1885,Private collection (F79),#D39E46,#BF8A57,#5E4936,#82674D,#B0763C
145,Head of a Peasant Woman with a White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube11.jpeg,1885,"Foundation E.G. Bührle, Zurich (F80)",#847350,#36322E,#6A512C,#585244,#C3AE7B
146,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube10.jpeg,1885,"Van Gogh Museum, Amsterdam (F80a)",#2F2C2C,#79715B,#8A783F,#443F35,#4E483C
147,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube26.jpeg,1885,"Kunstmuseum Bern, Switzerland (F81)",#B5713D,#5A4F3E,#443C31,#A68963,#7A5F44
148,The Potato Eaters,Van-willem-vincent-gogh-die-kartoffelesser-03850.jpg,1885,"Van Gogh Museum, Amsterdam (F82)",#2C2F21,#23271D,#0F150D,#4A4C33,#1C2017
149,Cottage,Van_Gogh_-_Strohhütte_bei_Einbruch_der_Dämmerung.jpeg,1885,"Van Gogh Museum, Amsterdam (F83)",#342E24,#5B5343,#777555,#A1A16E,#473F35
150,Old Church Tower at Nuenen,VanGogh_F84.jpg,1885,"Van Gogh Museum, Amsterdam (F84)",#827D67,#515147,#514638,#29221A,#5C4B3A
151,Head of a Woman Wearing a White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube12.jpeg,1884–85,"Kröller-Müller Museum, Otterlo, Netherlands (F85)",#63624E,#534B36,#686C58,#373A35,#998F74
152,Head of a Peasant Woman in a White Bonnet,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube27.jpeg,1885,"Norton Simon Museum, Pasadena, California (F85a)",#C59D75,#40362A,#675643,#855B37,#8E6F54
154,The Old Cemetery Tower at Nuenen in the Snow,Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen_im_Schnee.jpeg,1885,"Tate, London (F87)",#A8A398,#A7A598,#A69F94,#B4AEA4,#A0968D
155,Cottage with Peasant Woman Digging,Van_Gogh_-_Bauernhaus_mit_umgrabender_Bäuerin1.jpeg,1885,Private collection (F89),#BBAC93,#8B745B,#7E5E47,#986441,#6A4932
156,Cottage and Woman with Goat,Van_Gogh_-_Bauernhaus_und_Frau_mit_Ziege.jpeg,1885,"Städel, Frankfurt, Germany (F90)",#8A703E,#B6AE9A,#787563,#4F4B33,#736E5B
157,Cottage with Trees also Cottage,Van_Gogh_-_Bauernhaus.jpeg,June 1885,Private collection (F91) ,#D4D1DA,#7C767F,#3E3941,#68626C,#928C95
158,Cottage with Trees,Van_Gogh_-_Bauernhaus_mit_Bäumen1.jpeg,1885,Private collection (F92),#A39CA6,#DEDBE3,#7C747E,#433B44,#615862
159,Cottage with Trees,Van_Gogh_-_Bauernhaus_mit_Bäumen2.jpeg,1885,Private collection (F92a),#625A64,#C6C3CC,#756E78,#8A838E,#3C363D
160,Cottage with Trees,Van_Gogh_-_Bauernhaus_mit_Bäumen.jpeg,1885,"Wallraf-Richartz Museum, Cologne (F93)",#3A4233,#CCA25C,#5A6150,#7E6C3A,#1D291F
161,Peasant Woman Digging,Van_Gog_-_Bäuerin_beim_Umgraben1.jpeg,1885," 's-Hertogenbosch, North Brabant (F94)",#36312A,#5C5548,#5C4C34,#BEA982,#756240
162,"Peasant Woman Digging also Woman with a Spade, Seen from Behind",Vincent_van_Gogh_-_Bäuerin_beim_Umgraben.jpg,1885,"Art Gallery of Ontario, Toronto (F95)",#959443,#393829,#99A470,#686C4E,#DDDDDC
163,Peasant Woman Digging,Vincent_van_Gogh_-_Bäuerin_beim_Umgraben2.jpg,1885,"Barber Institute of Fine Arts, Birmingham (F95a)",#57523B,#4B4835,#3B3A2C,#5C573D,#5C573F
164,Two Peasant Women Digging (b/w copy of painting),Van_Gogh_-_Zwei_Bäuerin_bei_Umgraben.jpeg,1885,Private collection (F96),#7E757F,#8C828D,#D3D4DB,#7B717C,#453B45
165,Two Peasant Women Digging Potatoes,Van_Gogh_-_Zwei_Bäuerinnen_beim_Kartoffelgraben.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F97 - also F129)",#937734,#7D664C,#C1AB58,#4D3C27,#D5D5D7
166,Peasant Woman Digging Up Potatoes,Vincent_van_Gogh_-_Boerin_aardappelen_opgravend.JPG,1885,"Royal Museum of Fine Arts, Antwerp, Belgium (F98)",#7D5E35,#352F1D,#56503C,#AE9B79,#676754
167,Basket of Apples,Van_Gogh_-_Stillleben_mit_Apfelkorb2.jpeg,1885,"Van Gogh Museum, Amsterdam (F99)",#807445,#474132,#565142,#302D2A,#53492D
168,Baskets of Potatoes,Van_Gogh_-_Stillleben_mit_Karoffelkorb.jpeg,1885,"Van Gogh Museum, Amsterdam (F100)",#6A5231,#3B322B,#5D4B37,#4F4235,#94774A
169,Basket of Apples,Van_Gogh_-_Stillleben_mit_Apfelkorb1.jpeg,1885,"Van Gogh Museum, Amsterdam (F101)",#58553D,#37362E,#635724,#534F31,#8C7F46
170,"Still Life with a Basket of Potatoes, Surrounded by Autumn Leaves and Vegetables","Van_Gogh_-_Stillleben_mit_Kohlköpfen,_Kartoffelkorb_und_Blättern.jpeg",1885,Private collection (F102),#60523B,#4C473C,#3F382C,#685C46,#94805F
171,Still Life with Vegetables and Fruit,Van_Gogh_-_Stillleben_mit_Gemüse_und_Früchten.jpeg,1885,"Van Gogh Museum, Amsterdam (F103)",#534E3A,#544B29,#3A382B,#5C543A,#78683F
172,Still Life with Ginger Jar and Apples (b/w copy of painting),Van_Gogh_-_Stillleben_mit_Ingwertopf_und_Äpfeln.jpeg,1885,Private collection (F104),#837E87,#4C464F,#443E47,#2E2930,#3E3841
173,Still Life with Ginger Jar and Onions,Van_Gogh_-_Stillleben_mit_Ingwertopf_und_Zwiebeln.jpeg,1885,"The McMaster Art Gallery, Hamilton, Ontario (F104a)",#4E3E27,#784B24,#2F2310,#67543C,#453823
174,Still Life with an Earthen Bowl and Pears,Van_Gogh_-_Stillleben_mit_Birnen_in_einer_Schale.jpeg,1885,"Centraal Museum, Utrecht, Netherlands (F105)",#6B6757,#48453A,#312E28,#514E40,#413F35
175,Still Life with a Basket of Apples and Two Pumpkins,Van_Gogh_-_Stillleben_mit_Apfelkorb_und_zwei_Kürbissen.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F106)",#6B624B,#36322E,#484641,#423D38,#3F3A34
176,Basket of Potatoes,Van_Gogh_-_Stillleben_mit_zwei_Kartoffelkörben.jpeg,1885,"Van Gogh Museum, Amsterdam (F107)",#2E2E29,#3B3B35,#35352F,#363635,#504E47
177,Still Life with Three Birds' Nests,Van_Gogh_-_Stillleben_mit_drei_Vogelnestern2.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F108)",#474039,#34302E,#3D3732,#38322D,#3F3830
178,Still Life with Birds' Nests,Van_Gogh_-_Stillleben_mit_zwei_Vogelnestern.jpeg,1885,"Van Gogh Museum, Amsterdam (F109r)",#544D56,#8B848E,#353037,#4C454E,#474149
179,Still Life with Three Birds' Nests,Van_Gogh_-_Stillleben_mit_drei_Vogelnestern.jpeg,1885,"Gemeentemuseum Den Haag, Netherlands (on loan) (F110)",#443C33,#5B4A36,#816850,#35302C,#4D443B
180,Still Life with Birds' Nests,Van_Gogh_-_Stillleben_mit_fünf_Vogelnestern.jpeg,1885,"Van Gogh Museum, Amsterdam (F111)",#695F38,#988D4A,#74693D,#5D5434,#393529
181,Still Life with Three Birds' Nests,Van_Gogh_-_Stillleben_mit_drei_Vogelnestern3.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F112)",#6B613E,#736845,#766C44,#5E563A,#6A6140
182,View of Amsterdam from Central Station,Van_Gogh_-_Blick_auf_Amsterdam_vom_Hauptbahnhof.jpeg,1885,"Private collection, Amsterdam (F113)",#7F7740,#4E4525,#A8A748,#9EA16D,#B7C29A
183,Still Life with a Basket of Apples,Van_Gogh_-_Stillleben_mit_Apfelkorb.jpeg,1885,Private collection (F115),#775C3B,#473525,#4B3014,#23180D,#2F241A
184,Basket with Potatoes,Van_Gogh_-_Stillleben_mit_Karoffelkorb1.jpeg,1885,"Van Gogh Museum, Amsterdam (F116)",#514F40,#36342E,#4C4A3E,#403E33,#4A483A
185,"Still Life with Open Bible, Extinguished Candle and Novel also Still Life with Bible",Libro_Vincent_van_Gogh.jpg,1885,"Van Gogh Museum, Amsterdam, Netherlands (F117)",#6B6548,#2E2B1F,#59533B,#7C7453,#686246
186,Still Life with an Earthen Bowl and Potatoes,Van_Gogh_-_Stillleben_mit_Kartoffeln_in_einer_Schüssel.jpeg,1885,"Museum Boijmans-van Beuningen, Rotterdam (on loan) (F118)",#6A5745,#B78F57,#7D501A,#473727,#785738
187,Autumn Landscape,Van_Gogh_-_Herbstlandschaft.jpeg,1885,"Fitzwilliam Museum, University of Cambridge, England (F119)",#B58158,#79593A,#C0B6C8,#9F7453,#98837E
188,Autumn Landscape at Dusk,Van_Gogh_-_Herbstlandschaft_in_der_Abenddämmerung.jpeg,1885,"Centraal Museum, Utrecht, Netherlands (F121)",#7F5D45,#8D6946,#765C4B,#977357,#634A3A
189,"Parsonage Garden at Nuenen with Pond and Figures, The",Van_Gogh_-_Der_Pfarrgarten_in_Nuenen_mit_Teich_und_Figuren.jpeg,1885,"Destroyed by fire in World War Two, Rotterdam (F124)",#40373F,#625860,#9F969E,#6B6169,#655C64
190,Peasant Woman Sitting on a Chair,"Van_Gogh_-_Bäuerin,_auf_einem_Stuhl_sitzend.jpeg",1885,Private collection (F126),#A78B6C,#866856,#7C5F50,#7A695D,#615145
191,Peasant Woman Sewing,"Van_Gogh_-_Bäuerin,_nähend.jpeg",1885,Private collection (F126a),#584F58,#B3ADB6,#393038,#6F6770,#4D444C
192,"Peasant Woman, Seated (Half-Figure)","Van_Gogh_-_Bäuerin,_sitzend,_mit_gefalteten_Händen.jpeg",1885,Private collection (F127),#44412E,#5E5D42,#917A50,#54533B,#605536
193,Peasant Woman Standing Indoors,Van_Gogh_-_Bäuerin_im_Hausflur_stehend.jpeg,1885,"National Museum of Serbia, Belgrade (F128)",#674D45,#523D38,#493631,#654A40,#59423B
194,Two Peasant Women Digging Potatoes,Van_Gogh_-_Zwei_Bäuerinnen_beim_Kartoffelgraben.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F129 - also F97)",#4C3B27,#7F663E,#C8B154,#D5D6D8,#A69263
195,Peasant and Peasant Woman Planting Potatoes,Van_Gogh_-_Bauer_und_Bäuerin_beim_Kartoffelsetzen.jpeg,1885,Kunsthaus Zürich (F129a),#AA894C,#4F402C,#907241,#CBCDCB,#C4A25E
196,Head of a Woman,WLANL_-_artanonymous_-_Head_of_a_Woman.jpg,1885,"Van Gogh Museum, Amsterdam (F130)",#88877A,#846742,#374044,#46443C,#282B2A
197,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube24.jpeg,1885,"Woodone Museum of Art, Yoshiwa, Japan (F131)",#9B745C,#946C55,#90664F,#916955,#7A5847
198,Head of a Peasant Woman with Dark Cap (b/w copy of painting),Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube.jpeg,1885,Private collection (F133),#68616B,#413A44,#BEBCC5,#7C757F,#5F5862
199,Head of a Peasant Woman with Dark Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_roter_Haube.jpeg,1885,"Musée d'Orsay, Paris (F134)",#7C7757,#3E3229,#6E5B3F,#644D39,#A9804E
200,Head of a Peasant Woman with Dark Cap,Van_Gogh_-_Kopf_einer_Barbanter_Bäuerin_mit_dunkler_Haube2.jpeg,1885,"Cincinnati Art Museum, Cincinnati, Ohio (F135)",#4B483C,#434239,#4C4B40,#3F3B35,#373430
201,Head of a Peasant Woman with Brownish Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube9.jpeg,1885,"Dufresne Art Gallery, Paris (F136)",#5E545E,#3F353F,#5B515B,#564C56,#8C828D
202,Head of a Peasant Woman with Dark Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube5.jpeg,1885,National Gallery London (F137),#6D5A3D,#313329,#473620,#1A1C16,#3A311D
203,Head of a Peasant Woman with Dark Cap (b/w copy of painting),Van_Gogh_-_Kopf_einer_jungen_Bäuerin_mit_dunkler_Haube8.jpeg,1885,"Hecht Museum, Haifa, Israel (F138)",#B3AEB7,#736E77,#706A73,#38333A,#67616A
204,Peasant Woman Raking,"Van_Gogh_-_Bäuerin,_einen_Kanal_säubern.jpeg",1885,Private collection (F139),#5B515C,#423842,#665C67,#A79FAA,#574D57
205,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube28.jpeg,1885,"National Gallery of Scotland, Edinburgh (F140)  ",#76634D,#42403A,#726E66,#33322D,#4A463F
206,"Gordina de Groot, Head",Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube29.jpeg,1885,Private collection (F141),#575059,#362F38,#9A939D,#5F5761,#655E67
207,Peasant Woman Digging in Front of Her Cottage,Van_Gogh_-_Bauernhaus_mit_umgrabender_Bäuerin.jpeg,1885,Art Institute of Chicago (F142),#9A916F,#B9A862,#564A2F,#CDCED3,#96863F
209,Peasant Woman Peeling Potatoes,Van_Gogh_-_Bäuerin_beim_Kartoffelschälen.jpeg,1885,Private collection (F145),#A0875E,#48362C,#684E35,#72573E,#5D4735
210,Woman Lifting Potatoes,WLANL_-_artanonymous_-_Woman_Lifting_Potatoes.jpg,1885,"Van Gogh Museum, Amsterdam (F147)",#D4D4C9,#756F52,#2D2F25,#8B8D82,#5A5740
211,Peasant Woman Laundering,Van_Gogh_-_Bäuerun_beim_Wäschebleichen.jpeg,1885,Private collection (F148),#524C55,#6C656F,#8D8691,#322D34,#D0CBD3
212,Peasant Woman with Child on Her Lap,Van_Gogh_-_Bäuerin_mit_Kind_auf_dem_Schoß.jpeg,1885,Private collection (F149),#4B3B35,#2E2A2D,#866653,#3E322F,#312927
213,Head of a Young Peasant Woman with Dark Cap,Van_Gogh_-_Kopf_einer_jungen_Bäuerin_mit_dunkler_Haube.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F150)",#C7BE6E,#8F8D4E,#4E4537,#676241,#322C2A
214,Head of a Woman,Van_Gogh_-_Kopf_einer_alten_Bäuerin_mit_dunkler_Haube.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F151)",#302C2F,#553F2E,#423B3A,#3D3533,#856852
215,Woman with a Broom also Woman Sweeping the Floor,"Van_Gogh_-_Bäuerin,_den_Flur_fegend.jpeg",1885,"Kröller-Müller Museum, Otterlo, Netherlands (F152)",#958444,#3E382D,#61583D,#677156,#CEC568
217,Head of a Peasant Woman with Dark Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube2.jpeg,1885,Private collection (F153a),#39343D,#68636C,#746E78,#C7C6CE,#89838D
218,Head of a Woman with Brownish Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_bräunlicher_Haube.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F154)",#9A6D54,#675346,#54483E,#65402C,#423933
219,Head of a Peasant Woman in a Green Shawl,Van_Gogh_-_Bäuerin_mit_grünem_Schal.jpeg,1885,"Museum of Fine Arts of Lyon, France (F155)",#4A4139,#4C4136,#5C4C3E,#51463B,#3E3832
220,Peasant Woman Darning Stockings (b/w copy of a very dark painting),Van_Gogh_-_Bäuerin_beim_Strümpfestopfen.jpeg,1885,Private collection (F157),#433943,#514752,#433944,#4D444E,#403640
221,Peasant Woman by the Fireplace,"Van_Gogh_-_Bäuerin,_am_Herdfeuer_sitzend.jpeg",1885,"Musée d'Orsay, Paris (F158)",#575C3B,#514F40,#3D392E,#606248,#7C824E
222,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_mit_roter_Haube2.jpeg,1885,"Van Gogh Museum, Amsterdam (F160)",#564337,#644C3D,#8C6753,#594B42,#3F342F
223,Woman with a Mourning Shawl (b/w copy of painting),Van_Gogh_-_Kopf_einer_Bäuerin_mit_grünem_Schal.jpeg,1885,"Van Gogh Museum, Amsterdam (F161)",#483E46,#5A5159,#7A7179,#61575F,#5D545B
224,Head of a Young Peasant in a Peaked Cap,Vincent_van_Gogh_Head_of_a_Young_Peasant_in_a_Peaked_Cap.jpg,1885,"Royal Museums of Fine Arts of Belgium, Brussels (F163)",#7E7554,#4E4C3A,#3F3D2C,#5C5638,#545445
225,Head of a Young Peasant in a Peaked Cap,Van_Gogh_-_Kopf_eines_jungen_Bauern_mit_Mütze2.jpeg,1885,"Nelson-Atkins Museum of Fine Art, Kansas City (F165)",#5E664F,#46432C,#6A5B38,#242415,#89896F
226,Peasant Digging,Van_Gogh_-_Bauer_beim_Umgraben1.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F166)",#32302C,#45433D,#645C4C,#413C32,#454036
227,Woman at Table also Peasant Sitting at a Table,"Van_Gogh_-_Bauer,_am_Tisch_sitzend.jpeg",1885,"Kröller-Müller Museum, Otterlo, Netherlands (F167)",#5F4F3F,#433834,#524237,#837558,#362C27
228,Head of a Man,Van_Gogh_-_Kopf_eines_Bauern.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F168)",#68463A,#372B2A,#A2714A,#885A44,#C5A669
229,Head of a Man with a Pipe,Van_Gogh_-_Kopf_eines_Bauern_mit_Tonpfeife.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F169)",#433A34,#88735C,#AFA08C,#6C6352,#664F42
230,Head of a Peasant with a Cap,Van_Gogh_-_Kopf_eines_Bauern_mit_Mütze2.jpeg,1885,Collection Niarchos (F169a),#413943,#B1ABB5,#5F5762,#7A737D,#6C656F
231,Cottage with Peasant Coming Home,Van_Gogh_-_Cabaña_con_campesino_regresando_a_casa.jpg,1885,"Soumaya Museum, Mexico City (F170)",#909486,#3F2B14,#827352,#6A5837,#C4D7D7
232,Peasant Making a Basket,"Van_Gogh_-_Bauer,_sitzend_beim_Korbflechten.jpeg",1885,"Musée des Beaux-Arts, La-Chaux-de-Fonds, Switzerland (F171)",#675D66,#968C95,#655B64,#60565F,#433941
233,Peasant Making a Basket,"Van_Gogh_-_Bauer,_sitzend_beim_Korbflechten2.jpeg",1885,Private collection (F171a),#554A52,#3E343C,#5A5059,#897F89,#61565F
234,Head of an Old Woman with White Cap (The Midwife),Van_Gogh_-_Kopf_einer_alten_Frau_mit_weißer_Haube_(Die_Amme).jpeg,1885,"Van Gogh Museum, Amsterdam (F174)",#A09581,#4A4237,#6A6351,#736747,#6A6358
235,Bobbin Winder,Van_Gogh_-_Spinnrad.jpeg,1885,"Van Gogh Museum, Amsterdam (F175)",#473F49,#665C67,#948D97,#685F6A,#6E6570
236,Peasant Woman Cooking by a Fireplace (b/w copy of painting),Peasant_Woman_Cooking_by_a_Fireplace.jpeg,1885,"Metropolitan Museum of Art, New York (F176)",#524525,#2B1E11,#443D2A,#473818,#746636
237,Flying Fox,Van_Gogh_-_Die_Fledermaus.jpeg,1885,"Van Gogh Museum, Amsterdam (F177a)",#826957,#614D3F,#986036,#382F2A,#C98A57
238,Head of a Man,Kop_van_een_man_-_s0068V1962r_-_Van_Gogh_Museum.jpg,1885,"Van Gogh Museum, Amsterdam (F179r)",#454938,#323427,#262A20,#3A3D31,#2D3126
239,The Vicarage at Nuenen,Van_Gogh_-_Das_Pfarrhaus_in_Nuenen.jpeg,1885,"Van Gogh Museum, Amsterdam (F182)",#72695B,#605642,#3E392C,#8E7954,#B7B37D
240,"Parsonage at Nuenen by Moonlight, The",Van_Gogh_-_Das_Pfarrhaus_in_Nuenen_bei_Mondschein.jpeg,1885,Private collection (F183),#857747,#766537,#9F935E,#5D4C2B,#D7D2B6
241,Cottage with Trees and Peasant Woman,Van_Gogh_-_Bauernhaus_mit_zwei_Bäumen_und_Bäuerin.jpeg,1885,Private collection (F187),#4A3F21,#3F3517,#4D4122,#3E3417,#352C12
242,Landscape at Dusk,Van_Gogh_-_Landschaft_in_der_Abenddämmerung.jpeg,1885,"Thyssen-Bornemisza Museum, Madrid (F191)",#AE882C,#D5AB42,#423A28,#775B1F,#74664A
243,Country Lane with Two Figures,Van_Gogh_-_Allee_mit_zwei_Figuren.jpeg,1885,Private collection (F191a),#5C6350,#798863,#636D50,#40473A,#52594A
244,Sheaves of Wheat in a Field,Van_Gogh_-_Weizengarben_auf_einem_Feld.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F193)",#655437,#CDCDD1,#A68F41,#9D8D68,#C5B347
245,"Parsonage Garden at Nuenen in the Snow, The",Van_Gogh_-_Der_Pfarrgarten_in_Nuenen_im_Schnee1.jpeg,1885,"Norton Simon Museum, Pasadena (F194)",#776C5B,#B8B0A1,#807767,#877E6D,#4C4337
246,"Willow, The (b/w copy of painting)",Van_Gogh_-_Weide.jpeg,1885,"Private Collection, previously stolen but recovered (F195) ",#645F65,#39343A,#746E75,#B6B1B7,#575259
247,Landscape with Windblown Trees,Van_Gogh_-_Landschaft_mit_Bäumen_im_Wind.jpeg,1885,Location unknown (F196),#5F5D3E,#565A37,#A2A27E,#2D311A,#484B2E
248,Still Life with Copper Coffeepot and Two White Bowls (b/w copy of painting),Van_Gogh_-_Stillleben_mit_Kaffeekanne_und_zwei_Bechern.jpeg,1885,Private collection (F202),#423841,#544B54,#989099,#685F67,#5C525B
249,Portrait of an Old Man with Beard,Van_Gogh_-_Bildnis_eines_alten_Mannes_mit_Bart.jpeg,1885,"Van Gogh Museum, Amsterdam (F205)",#8F7F61,#3D362E,#504940,#514636,#64573A
250,Head of a Woman with her Hair Loose,Van_Gogh_-_Kopf_einer_Frau_mit_offenem_Haar.jpeg,1885,"Van Gogh Museum, Amsterdam (F206)",#6D6149,#87854C,#B2A77D,#7A6E50,#42392D
251,Portrait of a Woman with Red Ribbon,Van_Gogh_-_Bildnis_einer_Frau_mit_rotem_Haarband.jpeg,1885,Private collection (F207),#AF997F,#3C352E,#5A5946,#7A775A,#A05B42
252,Portrait of Woman in Blue,Van_Gogh_-_Bildnis_einer_Frau_in_Blau.jpeg,1885,"Van Gogh Museum, Amsterdam (F207a)",#8BA493,#889074,#D1C29C,#728F85,#5D6255
253,View of a Town with Drawbridge,Van_Gogh_-_Stadtansicht_mit_Gracht_und_Zugbrücke.jpeg,1885,Private collection (F210),#68616B,#A09AA4,#645D67,#443D47,#6E6771
254,The De Ruijterkade in Amsterdam,Van_Gogh_-_Kai_in_Antwerpen_mit_Schiffen.jpeg,1885,"Van Gogh Museum, Amsterdam (F211)",#9B885B,#BFAA83,#9B8A70,#5E503F,#D1B5AA
255,Still Life with a Basket of Vegetables,Still_life_with_a_basket_of_vegetables_by_Vincent_Van_Gogh.jpg,1885,"Collection Anneliese Brand, Landsberg/Lech (F212a) ",#745E3D,#9C8259,#64563F,#705632,#514229
256,Backyards of old Houses in Antwerp in the Snow,VanGogh-Houses_Seen_from_the_Back.jpg,1885,"Van Gogh Museum, Amsterdam (F260)",#BEB987,#363A25,#606341,#696F54,#888A6A
257,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube20.jpeg,1885,"Van Gogh Museum, Amsterdam (F269r)",#574E59,#5A505B,#7C737E,#5D535E,#4B414C
258,Peasant Woman Peeling Potatoes (b/w copy of painting),Van_Gogh_-_Bäuerin_beim_Kartoffelschälen1.jpeg,1885,"Metropolitan Museum of Art, New York (F365r)",#504A52,#5C565F,#655F67,#363138,#9E98A1
259,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube_28.jpeg,1885,"Van Gogh Museum, Amsterdam (F388r)",#444A33,#8F976A,#545B49,#616B41,#2C2E26
260,"The Parsonage Garden at Nuenen with Pond and Figures, watercolor",Van_Gogh_-_Der_Pfarrgarten_in_Nuenen_mit_Teich_und_Figuren1.jpeg,1885, Private collection (F1234),#6E533F,#B7B4B8,#9A7254,#9F8A80,#BE9773
261,"Head of a Man, Drawing",HeadOfAManVanGogh.jpg,1885,"Van Gogh Museum, Amsterdam (F1358)",#C5AC96,#907C6A,#97816B,#4A3E36,#918274
262,"Head of an Old Man, Drawing",Head_of_an_Old_Man_(F1359)_Van_Gogh.jpg,1885,"Van Gogh Museum, Amsterdam (F1359)",#B39E78,#655B48,#CFB892,#B39972,#A69B85
263,"Study for The Potato Eaters, Lithograph",Van_Gogh_-_Die_Kartoffelesser1.jpeg,1885,"Museo Thyssen-Bornemisza, Madrid, Spain or Location unknown (F1661)",#71676F,#A1989F,#695F67,#443B43,#6D636B
264,Head of a Peasant Woman with Dark Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube4.jpeg,1885,Private collection (F1667),#372E30,#493D3A,#403736,#352C28,#937555
265,"Gordina de Groot, Head",Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube15.jpeg,1885,Private collection (F1668),#564C54,#352D34,#948B93,#5E535B,#5B5159
266,Cottage with Decrepit barn and Stooping Woman,Van_Gogh_-_Bauernhaus_mit_gebückter_Bäuerin_in_blauem_Kleid.jpeg,1885,Private collection (F1669),#A68D70,#604F3C,#BFB8B7,#968570,#957048
267,Cottage,Van_Gogh_-_Bauernhaus1.jpeg,June–July 1885,"Private collection (No F number, JH Add. 23)",#C4AA85,#AF8E5A,#D2CACA,#C3B3A6,#78603F
268,The Green Parrot,Van_Gogh_-_Der_grüne_Papagei.jpeg,1886,Private collection (F14),#594C44,#6D5A4D,#786056,#9E7A64,#3A3635
269,The Kingfisher,Van_Gogh_-_Eisvogel.jpeg,1886,"Van Gogh Museum, Amsterdam (F28) [Artist disputed]",#647149,#7A7944,#A6A767,#788A5A,#87935A
270,Self-Portrait,Van_Gogh_-_Selbstbildnis.jpeg,1886,"Gemeentemuseum Den Haag, The Hague (F178v)",#5E5646,#9E774C,#60523D,#6C5B42,#4C4638
